mass,z
10.7429,0.049113
10.9807,0.057286
11.33927,0.137709
10.77862,0.097664
11.2783,0.135758
11.476428,0.157691
11.173301,0.083506
10.68268,0.082686
11.50098,0.178805
11.37108,0.179218
10.65674,0.084179
11.25974,0.096276
11.02217,0.107284
11.25879,0.164763
10.844429,0.084281
11.49319,0.183822
11.414579,0.176697
10.621551,0.051634
11.021181,0.119659
11.16625,0.094909
11.411409,0.082632
11.38797,0.144296
10.7979,0.082161
10.939109,0.082275
10.551291,0.056095
11.282869,0.182364
11.321971,0.141369
11.21142,0.044374
10.944119,0.033871
10.5401,0.080895
11.18364,0.081254
11.35614,0.143181
10.84579,0.081366
11.253881,0.142389
11.312901,0.147585
10.60957,0.076367
10.72143,0.071247
10.76913,0.076362
11.25571,0.163575
11.07358,0.141005
10.668651,0.081167
10.704619,0.083178
11.21987,0.082175
10.564509,0.080949
11.05693,0.08305
11.19623,0.080154
10.50414,0.070987
11.30002,0.07052
11.0004,0.082148
11.21018,0.079511
11.04167,0.129331
11.279109,0.084404
10.83732,0.078936
11.188721,0.132473
11.24712,0.078263
11.50159,0.078643
11.158481,0.143357
11.01246,0.077835
10.52305,0.077966
10.50499,0.077269
11.44092,0.076962
11.24786,0.130301
11.14683,0.146199
11.31617,0.18828
11.27868,0.12092
10.997669,0.076605
11.286389,0.107066
10.632429,0.071163
11.50426,0.137903
10.55573,0.045102
10.584589,0.041053
11.09769,0.1348
11.04374,0.132817
10.59922,0.094713
10.72639,0.045512
11.45294,0.045876
11.39019,0.129478
11.416869,0.179509
11.54988,0.192329
11.00771,0.081237
11.148821,0.105665
10.55154,0.034652
10.92456,0.065233
11.193121,0.099967
11.14297,0.08626
11.376599,0.186416
10.63068,0.086733
11.43434,0.084128
11.14285,0.142038
11.02089,0.107783
11.15481,0.13868
10.58058,0.090232
10.92902,0.096496
11.07887,0.138067
11.623631,0.185853
11.0881,0.138952
10.628561,0.071647
11.65699,0.189116
11.07027,0.090112
10.64689,0.090124
11.323271,0.130204
10.677529,0.078358
11.6664,0.182392
10.543469,0.080831
11.147921,0.14882
11.37439,0.155725
11.40099,0.17992
11.20802,0.116587
11.00932,0.141872
11.113301,0.117004
11.181141,0.09959
10.79302,0.057728
10.79432,0.097643
